Corresponding LLM_Text	Cluster
A woman in orange  pants and a purple top stands before a backdrop of a tan wall, carrying a large  hobo bag in her right hand while looking directly into the lens. She appears confident, stylish and ready	5
Two individuals stand on a slope as their gaze is drawn towards a fierce blaze consuming everything in its path; smoke rises into the sky while sparks fly off in every direction.	14
Four diverse images depicting a high-end luxury vehicle, including one with a third row of seating and another with sliding rear doors; all have sleek designs in various colors such as black, gray, white, or silver	10
Little Boy Dressed As An Elf Standing Next To A Horse	14
Lady of Sherwood 🗿️	5
Helicopter Flying Over Building on Fire	1
A Red And White Quilt With A Square Shape	8
A pregnant woman wears a sleek black floor-length ballgown as she proudly shows off her baby bump while striking an elegant pose.	13
A stunning diamond and emerald necklace sits atop a crisp white backdrop, showcasing its beauty in all its glory.	5
The reflection of downtown Columbus in the Scioto River	9
A car drives down a scenic snow-covered road surrounded by snow-covered mountains	1
A car stereo with Apple CarPlay screen	12
Two soldiers are seen posing for a picture with their airsoft weapons as they stand amidst rows of tall marijuana plants.	5
A beautifully illuminated Chinese temple stands out against a brilliant blue sky during the nighttime.	11
A tall wooden sailboat sits on its own deck surrounded by wooden structures as it floats calmly in a white environment; there are two anchors attached at both sides of the vessel.	6
A man in a bright red military uniform with golden accents  holds his sword aloft	5
A metallic padlock is situated in proximity to several bank cards.	5
ALEX RODRIGUEZ AND WIFE DANIELLE GUERRERO ARE IN BLACK GOINGS ON THE RED CARPET	1
A bearish triangle forms as prices drop ahead of anticipated Canadian tsunami commodity dips; silver loses luster with tarnished future while Isuzu tf and other whitecaps ride the dip into tomorrow's	14
A group of people raise their hands in celebration after casting their votes at the polls today!	1
A diverse group of individuals practice their striking skills inside a well-equipped martial arts gym, surrounded by various training tools like punching bags, hand guards, and knee pads.	7
A spacious penthouse apartment features a stunning dining room with natural light pouring through large windows offering breathtaking city views	10
A beautifully designed kitchen featuring a spacious island surrounded by comfortable bar stools perfect for entertaining guests!	5
A cold stare from a stern-looking soldier is met with resistance from an enemy combatant clutching onto his trench coat for dear life; both are flanked by barbed wire, symbolizing the harsh realities of war	11
A cabinet is filled with numerous colorful dishes and cups!	6
A white wedding dress on a mannequin, highlighted by its lace top &  beaded bodice with long skirt & trail	1
Neighborhood Council Logo with Trees and Houses in the Background	13
A black and white photograph of a cat with large bright eyes stares at you from across the room; its triangular head shape makes you wonder if this mysterious creature may hold some ancient wisdom or dark magic within those piercing gazes.	8
A cozy dining room at a ski lodge features a beautifully decorated table surrounded by comfortable chairs while a banister adds charm to the space.	5
A man’s Nike Dry Half Zip Top	6
an apartment building 
with a walkway 
and bushes in front of it	10
A small shiba inu lying on the ground with its back legs folded, resting amidst numerous documents and invoices.	8
A group of people watch as a large whale breaches the surface beside their zodiac boat.	5
A kitchen with a stove top oven and a sink. This kitchen features cabinetry, countertop, and brickwork elements, including a kitchentable storage shelf or drawer	10
A movie poster featuring a diver descending into crystal blue water below the surface of the ocean or sea.	10
A White Ford Ranger Pickup Truck On A White Background	9
A brown, blue and green pillow with a decorative design and apple motif stands against a white backdrop	4
A cozy bedroom with a bed, desk, and chair provides comforting privacy while keeping clutter organized through efficient use of space beneath drawers	5
A black Manfrotto MH-100 series head sits atop a tall white tripod, its fluid motion facilitated by a red knob.	11
A women wears a black jumpsuit	13
A man rides his bike while putting on reflectorized sunglasses for added visibility during nighttime rides	7
Aerial View Of A City With A Lake In Background	7
An aquarium containing vibrant corals and diverse sea life.	9
Black sandals sit on a bright white ground.	5
A set of jumper cables and a battery charger.	5
A large body of water adjacent to a white sand beach.	1
A cozy home office with a comfortable couch and modern computer setup for video conferencing.	12
A Hot Tub Sitting On Top Of A Balcony.	4
A woman wears a fur hat and scarf.	10
A wooden desk with a black leather chair for comfortable working at an office	5
A black tabletop holds several cosmetic products in various containers, including a thermos bottle with a vacuum seal for drinks.	5
A beautifully crafted brown dresser stands next to a flowery vase while a small chest of drawers sits near it	5
A close-up photo of a camera lens attached to a tripod head showing the grip/mounting plate and base/knob for adjusting the elevation.	1
The softshell jacket is ideal for cycling since it offers wind protection while being breathable and flexible. A cyclist may remain comfortable during lengthy trips by donning this bicycle clothing with its moisture - wick	6
Surround Yourself With People Who Believe In Your Dreams - A Galaxy Of Support! 🌠✨ Encouragement & Hope For Your Journey To Success!	6
A striped sofabed on a white ground	5
A stack of aluminum cans containing carbonated soft drinks, with some having condensation on their surfaces, sit amidst a cluster of others, forming an orderly arrangement of varying sizes on a flat surface.	7
A tranquil paradise for vacationers seeking relaxation and comfort; a luxury eco-hotel perched on a picturesque island offers stunning views from its spacious decks, including a sizable hot tub perfect	5
A lady wears a vibrantly colored balaclava around her face while sporting dangling earrings and a sparkly brooch on top of her earflap.	11
A breathtaking downtown skyline at night under the glittering mixed-use landscape lighting, capturing the essence of real estate in this bustling capital city where high-rise structures stand out amidst monument	8
A white space with black tables and shelves	10
A lovely blue chest of drawers adorns this cozy space	5
How Many People Have Data Bills Affected?	9
A colorful array of tasty seafood delights! 🐚🍽️	5
A couple of stuffed foxes are shown lying down together.	5
A lovely candle holder in stained glass style with a floral motif creates a warm ambiance and produces subtle shadows on the walls as a softly burning candle lights its inner space	14
A floor plan of a two story house featuring four separate living areas, three rooms, one bathroom, and two bedrooms	5
A check-in chart showing global population increases over time.	13
Three small cars are parked in a parking lot, including a mini Cooper, Innocenti mini, and first-generation Range Rover, with various body colors such as black, gray, white, and silver.	8
A woman wears a green and black floral print dress	5
A wooden table with chairs surrounding it in a room	5
Several Houses Built In Chapman
The word Count is 87	13
A black and white photo of three men with long hair.	10
A few individuals walk through a snowy road as they enjoy sledding during a winter storm.	13
A Close Up Of A Metal Object On A Table.	1
A small wooden table with three drawers	10
A stunning woman dons a glamorous black gown with intricate beading across the bustier top for a sophisticated look at a formal event	10
This screenshot displays a spreadsheet containing multiple worksheets, indicating various options available for tracking and managing enterprise resources within an office environment using utility software applications such as Excel and network monitoring tools like Nagios.	7
A white digital scale sits on top of a counter displaying weights electronically using an LCD display	6
A golden paper robot stands upright by a wrapped present.	1
Employment in US oil and gas industry forecasted to increase through May 2018.	14
A majestic stone sculpture rises from a flat terrain like a pillar, soaring upwards until its peak vanishes into the clouds. Its intricate design suggests great craftsmanship and historical significance.	7
Inside A Modern Family House Living Room Decorated In Grey And White With TV, Couches, And Other Furnishings	1
The silver masked man grimaces fiercely as he prepares for battle against his opponents!	5
A kitchen with white cabinets and black appliaces	6
A claymation boy and girl talk via video call with animated cartoon reactions as they express themselves using emails and chat messages shown on TV screens behind them.	13
Woman pours absinthe for father at dinner.	10
A female competitor sits down for an interview during a cyclo-cross race at the Isle of Man TT, displaying confident body language despite their face revealing determination and focus.	13
A close-up view of a turbocharger on a white backdrop	11
A cluttered workspace with a desk and chair.	2
A beautiful cell phone case featuring vibrant butterfly design!	5
A purple handbag with brown handles	1
The renault football crew participates in match play on pi day, promoting electrical contractors using their alliance for a good cause as they stand next to one another with a unified "play4change" message held high on a color	5
A stunning sundowner view of the ocean from a cozy cottage patio, complete with comfortable gazebo furniture and a picturesque rooibos tea garden 🌅	14
A luxurious white and black handbag sits elegantly atop a polished wood table.	5
The man in a white shirt and tie sat in a dark room, his bloody eyes fixed on some unknown point.	12
A Toshiba sign stands proudly on the side of a modern office building	4
A black and white electric kettle sitting atop a tall base.	13
A women dressed in blueskirt &  graytop plays golf with a pitchingwedge near some tall trees &amp; lush greens	2
A stunning young woman in a lovely yellow gown holds an ancient violin tenderly as she prepares for an impending performance in this classic pinup snapshot from yesteryear	7
A lovely dining space is displayed in this photo, complete with plush carpeting, stunning wallpaper, gleaming hardwood floors, comfy seating, and exquisite accessories like lamps and vases	5
A group of adventurous travelers pose on top of their colorful wagon as they embark on a thrilling journey through rolling hills and dense forests filled with magical creatures.	1
Two children walking along a beach holding hands and smiling while enjoying each other company in beautiful scenery.	5
A lineup of numerous North American B-25 Mitchell, Boeing B-50 Super fortness,Lockheed P -38 Lighting and Lockhead T -33 Military Aircraft on Airport Runway amidst picturesque	13
A group of players tackling for the end zone during an intense sprint football match.	14
A Bunch Of Cables Connected Together	5
A small blue ouse wit a hammer stiking out if its rooft	5
A map of the United States worksheet featuring a weather map with locations and lines representing different types of precipitation.	8
A map of Canada shows its many lakes, including Lake Superior, Lake Huron, Lake Michigan, and Lake Winnipeg - all large freshwater bodies essential for drinking, irrigation, transportation, recreation, fish	10
A luxurious Bentley Mulsanne sedan features soft white leather seats and rich wood trim in its well-appointed interior	14
Hiring Channels 📈 Discover various job opportunities!	14
A wooden table topped with plates of colorful sushi and chopsticks inviting you to dig in	8
The Neighborhood Council Logo With Trees And Houses In The Backdrop	8
A beautifully crafted women's bomber leather jacket worn over a stunning outfit for added flair while striking poses against an immaculately clean backdrop	5
This caption highlights the ring's prominent feature - its numerous small white diamonds. It	8
Air Canada Boeing 767-400 flies over a blue sky	10
two men are seen shaking hands in front flags as they negotiate or discuss matters pertaining India Chinese culinary diplomacy	10
A graph exhibiting the rise in the quantity of sales things offered throughout several months	5
A black and  white photo captures the essence of a well-dressed woman from  19th century as she strikes pose in her elaborate academic attire comprising a flowy dress suit with intricate lace adorn	14
The bar chart displays the rising cost of diesel fuel ($10) for performing artists using a Dodge Regent as their primary mode of transportation in Thailand while struggling to make ends meet due to high export costs ($25). Despite	5
An aerial view of a vibrant skate park with graffiti and creative street art elements.	5
A beautifully designed bathroom featuring a luxurious shower area, sleek sink, and spacious mirror for grooming convenience.	1
A diverse group of seniors stands happily together in a colorful room filled with pictures, celebrating Grandparents Day as members of Girl Scouts USA and their kindergarten students participate in a spelling bee.	10
A mountain hardshell jacket provides warmth while keeping insects away.	8
A silver ring featuring a turquoise butterfly	5
The stock chart exhibits an escalating pattern, indicating increasing price levels over time.	11
A lady sits alone in a vibrant restaurant, adorned with indicators and decorations celebrating Mexican delicacies close to Cinco de Mayo, surrounded via desks and chairs, giving her a comfortable setting to enjoy	11
A pair of black earbuds sit on top of each other.	5
A man and woman hold hands, looking at each other lovingly while strolling hand-in-hand across the sandy shoreline during early morning sunrise; it seems like they want to remember this moment forever!	10
A stunning pair of blue and white beaded turquoise earrings	7
This picture depicts a well-appointed restroom with gleaming tile work covering the floor, walls and even the surfaces like the counter top and sink. A medicine chest that appears white or off-white completes the room.	7
A car alter and wiring kit on a white background	1
The stunning beauty sits gracefully atop the luxurious couch, adorned with a dainty lipstick smile as she sips on a chic cocktail, radiating confidence and poise.	10
A cozy living room with a warm glow emanating from the crackling fireplace invites all who step inside. Fresh flowers adorn the mantle while plush couches beckon weary eyes seeking solace after	14
A cozy bedroom adorned with a plush four poster bed, a chest of drawers, and a lovely sash window overlooking picturesque landscapes outside.	11
A beautifully crafted lute leans gracefully against a softly lit wall.	13
A man was arrested after he was seen drinking tequila while driving under the influence, leading to a violent confrontation with police officers during which he broke the law and caused harm to others before finally giving up resistance and being handcuffed	11
A bunch of cigarettes stacked on top of each other	12
A black rain jacket with a skull on it	7
- A Galley style kitchen with wood cabinets and tile  floors	5
A bathroom containing several mason jars as organizers for various home essentials such as toothbrushes, toiletries, and medicines.	6
The World According To Roy Peterson...
Roy Peterson's vivid imagination created this colorful world, filled with whimsy, humor, and fantastical creatures. His artwork adorns the album covers, giving	5
A stunning array of gleaming silvery hues adorns this exquisite 18th century teaset, showcasing superb craftsmanship by a renowned English silversmith.	5
A Red Toyota Avalon Driving Down a Road
In this photo, a sleek and stylish red Toyota Avalon can be seen speeding along a winding asphalt road amidst picturesque landscape.	7
A group of guests at a rodeo event gather around a photo booth while an outlaw cowboy flashes his signature smile as he dons a pair of stylish country western dance shoes complete with leather linings.	6
Michigan State Spartans logo on a Green Background	14
This spreadsheet spread across many tabs displays various budgets for different purposes, including personal finances and small business operations.	10
Three tiered trays of deliciousness at today's mother's day cream tea! 🥳🍰☕️	11
Men working on a building foundation	10
A cozy living room with plush furniture, a large TV, and a stylish ceiling fan.	10
A proudly exhibited golden retriever being awarded during conformation  show.	3
A bottle of sparkling wine sits on a table overlooking the ocean as waves gently roll into shore.	7
A young Italian soccer player in a black and white striped jersey runs toward the camera with intensity, displaying a determined look on their face as they leap over a large round bale while concentrating intensely on scoring another point for	1
A table full of user guides, diagrams, and price lists for various vehicles and electronics, including Perodua MyVi, Vehicle Audio, and Hybrid Vehicles.	13
An antique ruby and diamond ring features a flower-shaped diamond and ruby set in golden band; an exquisite piece for any special occasion	6
A beautiful blue sea shell with a sparkling diamond in its center adorns this stunning ring, creating an understated yet sophisticated piece of jewelry perfect for any occasion!	6
A black and white illustration depicting a guy lounging in a tent while being observed by his neighbors.	5
A tall waterfall plunges into a dense forest below in a breathtaking display of nature's power and beauty.	7
A poetic lyrical verse with beautiful imagery celebrates Mother Nature, symbolizing the importance  of taking care of our planet for future generations	2
An Opened Asus Laptop Computer On White Background	11
A vintage day dress stands elegantly on a mannequin showcasing its pleated detailing around the waist, while nearby biscuits and gravy temptingly sit on their own plate.	12
A black electronic device with a button for tunning	5
